feature1,feature2,pvalue,stats
All,All,1.0,0.0
All,Density,0.01321805568922818,-0.02141094448281583
All,Entropy,0.32897663410730626,-0.013894969495362897
All,Heterogeneity,0.9933222921576733,-0.004947219019089399
All,Gini,0.018653384759427905,-0.020780217671497125
All,Resilience,6.312581298795195e-07,-0.03475474131814621
All,Transitivity,0.9964300000729055,-0.004471406697769409
All,None,0.011485714477879383,-0.021661802644640626
Density,All,0.01321805568922818,0.02141094448281583
Density,Density,1.0,0.0
Density,Entropy,0.9290746563718985,0.007515974987452934
Density,Heterogeneity,0.13795689114492748,0.01646372546372643
Density,Gini,0.9999999942877601,0.0006307268113187048
Density,Resilience,0.3832402617306585,-0.01334379683533038
Density,Transitivity,0.11425912762765855,0.01693953778504642
Density,None,0.9999999999910665,-0.00025085816182479626
Entropy,All,0.32897663410730626,0.013894969495362897
Entropy,Density,0.9290746563718985,-0.007515974987452934
Entropy,Entropy,1.0,0.0
Entropy,Heterogeneity,0.8380534709992544,0.008947750476273497
Entropy,Gini,0.955077155607275,-0.006885248176134229
Entropy,Resilience,0.017872785255167778,-0.020859771822783313
Entropy,Transitivity,0.7980759125436528,0.009423562797593488
Entropy,None,0.9164016089226306,-0.00776683314927773
Heterogeneity,All,0.9933222921576733,0.004947219019089399
Heterogeneity,Density,0.13795689114492748,-0.01646372546372643
Heterogeneity,Entropy,0.8380534709992544,-0.008947750476273497
Heterogeneity,Heterogeneity,1.0,0.0
Heterogeneity,Gini,0.17482785937436696,-0.015832998652407726
Heterogeneity,Resilience,4.4214256677110875e-05,-0.02980752229905681
Heterogeneity,Transitivity,0.9999999992031505,0.0004758123213199905
Heterogeneity,None,0.12503744567243202,-0.016714583625551227
Gini,All,0.018653384759427905,0.020780217671497125
Gini,Density,0.9999999942877601,-0.0006307268113187048
Gini,Entropy,0.955077155607275,0.006885248176134229
Gini,Heterogeneity,0.17482785937436696,0.015832998652407726
Gini,Gini,1.0,0.0
Gini,Resilience,0.32148278842898903,-0.013974523646649084
Gini,Transitivity,0.14642264756875967,0.016308810973727716
Gini,None,0.9999999408915623,-0.000881584973143501
Resilience,All,6.312581298795195e-07,0.03475474131814621
Resilience,Density,0.3832402617306585,0.01334379683533038
Resilience,Entropy,0.017872785255167778,0.020859771822783313
Resilience,Heterogeneity,4.4214256677110875e-05,0.02980752229905681
Resilience,Gini,0.32148278842898903,0.013974523646649084
Resilience,Resilience,1.0,0.0
Resilience,Transitivity,3.020257588792763e-05,0.0302833346203768
Resilience,None,0.4091556049005084,0.013092938673505583
Transitivity,All,0.9964300000729055,0.004471406697769409
Transitivity,Density,0.11425912762765855,-0.01693953778504642
Transitivity,Entropy,0.7980759125436528,-0.009423562797593488
Transitivity,Heterogeneity,0.9999999992031505,-0.0004758123213199905
Transitivity,Gini,0.14642264756875967,-0.016308810973727716
Transitivity,Resilience,3.020257588792763e-05,-0.0302833346203768
Transitivity,Transitivity,1.0,0.0
Transitivity,None,0.10310686719793571,-0.017190395946871218
None,All,0.011485714477879383,0.021661802644640626
None,Density,0.9999999999910665,0.00025085816182479626
None,Entropy,0.9164016089226306,0.00776683314927773
None,Heterogeneity,0.12503744567243202,0.016714583625551227
None,Gini,0.9999999408915623,0.000881584973143501
None,Resilience,0.4091556049005084,-0.013092938673505583
None,Transitivity,0.10310686719793571,0.017190395946871218
None,None,1.0,0.0
