feature1_BA,feature2_BA,value_BA
Best,Best,1.0
Best,All,0.7634065601557917
Best,Density,0.7236350595260637
Best,Entropy,0.9999443822503262
Best,Heterogeneity,0.9999999999966311
Best,Gini,0.9999952526605899
Best,Resilience,0.9999999999446871
Best,Transitivity,0.532803163785146
Best,None,1.6917578449238135e-12
All,Best,0.7634065601557917
All,All,1.0
All,Density,0.9999999999911977
All,Entropy,0.9548346256699993
All,Heterogeneity,0.7294359122363169
All,Gini,0.9209085327121153
All,Resilience,0.8095541060544689
All,Transitivity,0.9999947165839251
All,None,1.6917578449238135e-12
Density,Best,0.7236350595260637
Density,All,0.9999999999911977
Density,Density,1.0
Density,Entropy,0.9392332164452978
Density,Heterogeneity,0.687727225934597
Density,Gini,0.8984942640906581
Density,Resilience,0.773250277106099
Density,Transitivity,0.9999989632278201
Density,None,1.6917578449238135e-12
Entropy,Best,0.9999443822503262
Entropy,All,0.9548346256699993
Entropy,Density,0.9392332164452978
Entropy,Entropy,1.0
Entropy,Heterogeneity,0.9998694199208686
Entropy,Gini,0.9999999980261575
Entropy,Resilience,0.9999872646266552
Entropy,Transitivity,0.8310721958934424
Entropy,None,1.6917578449238135e-12
Heterogeneity,Best,0.9999999999966311
Heterogeneity,All,0.7294359122363169
Heterogeneity,Density,0.687727225934597
Heterogeneity,Entropy,0.9998694199208686
Heterogeneity,Heterogeneity,1.0
Heterogeneity,Gini,0.99998461622867
Heterogeneity,Resilience,0.9999999964920645
Heterogeneity,Transitivity,0.4941514848364714
Heterogeneity,None,1.6917578449238135e-12
Gini,Best,0.9999952526605899
Gini,All,0.9209085327121153
Gini,Density,0.8984942640906581
Gini,Entropy,0.9999999980261575
Gini,Heterogeneity,0.99998461622867
Gini,Gini,1.0
Gini,Resilience,0.9999994453796558
Gini,Transitivity,0.7606066413514067
Gini,None,1.6917578449238135e-12
Resilience,Best,0.9999999999446871
Resilience,All,0.8095541060544689
Resilience,Density,0.773250277106099
Resilience,Entropy,0.9999872646266552
Resilience,Heterogeneity,0.9999999964920645
Resilience,Gini,0.9999994453796558
Resilience,Resilience,1.0
Resilience,Transitivity,0.5897633005626863
Resilience,None,1.6917578449238135e-12
Transitivity,Best,0.532803163785146
Transitivity,All,0.9999947165839251
Transitivity,Density,0.9999989632278201
Transitivity,Entropy,0.8310721958934424
Transitivity,Heterogeneity,0.4941514848364714
Transitivity,Gini,0.7606066413514067
Transitivity,Resilience,0.5897633005626863
Transitivity,Transitivity,1.0
Transitivity,None,1.6917578449238135e-12
None,Best,1.6917578449238135e-12
None,All,1.6917578449238135e-12
None,Density,1.6917578449238135e-12
None,Entropy,1.6917578449238135e-12
None,Heterogeneity,1.6917578449238135e-12
None,Gini,1.6917578449238135e-12
None,Resilience,1.6917578449238135e-12
None,Transitivity,1.6917578449238135e-12
None,None,1.0
